"Time(second)","F1 Score"
"1","0.7125"
"3","0.7666666666666667"
"5","0.79375"
"7","0.8145833333333333"
"9","0.8229166666666666"
"11","0.8270833333333332"
"13","0.83125"
"15","0.83125"
"17","0.8333333333333334"
"19","0.8333333333333334"
"21","0.8333333333333334"
"23","0.8333333333333334"
"25","0.8333333333333334"
"27","0.8333333333333334"
"29","0.8333333333333334"
"31","0.8333333333333334"
"33","0.8333333333333334"
"35","0.8333333333333334"
"37","0.8333333333333334"
"39","0.8333333333333334"
"41","0.8333333333333334"
"43","0.8333333333333334"
"45","0.8333333333333334"
"47","0.8333333333333334"
"49","0.8333333333333334"
